,q,s
2018-09-01 00:00:00+01:00,6.05292357551723,1.85599411429322e-07
2018-09-02 00:00:00+01:00,5.32088434677003,1.85599411429322e-07
2018-09-03 00:00:00+01:00,4.66682889705189,1.85599411429322e-07
2018-09-04 00:00:00+01:00,4.09565800744314,1.85599411429322e-07
2018-09-05 00:00:00+01:00,3.71555761918874,1.85599411429322e-07
2018-09-06 00:00:00+01:00,3.67411769008255,1.85599411429322e-07
2018-09-07 00:00:00+01:00,8.80151421608658,1.85599411429322e-07
2018-09-08 00:00:00+01:00,15.9731642218785,1.85599411429322e-07
2018-09-09 00:00:00+01:00,20.8097852876839,1.85599411429322e-07
2018-09-10 00:00:00+01:00,26.9076634396163,1.85599411429322e-07
2018-09-11 00:00:00+01:00,28.2365425566393,1.85599411429322e-07
2018-09-12 00:00:00+01:00,36.9972750955516,1.85599411429322e-07
2018-09-13 00:00:00+01:00,42.514366955868,1.85599411429322e-07
2018-09-14 00:00:00+01:00,38.3716324848952,1.85599411429322e-07
2018-09-15 00:00:00+01:00,29.9966688013132,1.85599411429322e-07
2018-09-16 00:00:00+01:00,28.5155637205302,1.85599411429322e-07
2018-09-17 00:00:00+01:00,27.574977358613,1.85599411429322e-07
2018-09-18 00:00:00+01:00,22.3425603312127,1.85599411429322e-07
2018-09-19 00:00:00+01:00,20.2271179598878,1.85599411429322e-07
2018-09-20 00:00:00+01:00,25.2815276208214,1.85599411429322e-07
2018-09-21 00:00:00+01:00,35.3340255638123,1.85599411429322e-07
2018-09-22 00:00:00+01:00,34.9470441281754,1.85599411429322e-07
2018-09-23 00:00:00+01:00,26.1162174201162,1.85599411429322e-07
2018-09-24 00:00:00+01:00,18.8958589311026,1.85599411429322e-07
2018-09-25 00:00:00+01:00,17.8875135399485,1.85599411429322e-07
2018-09-26 00:00:00+01:00,19.5434141254745,1.85599411429322e-07
2018-09-27 00:00:00+01:00,18.748976160161,1.85599411429322e-07
2018-09-28 00:00:00+01:00,15.5854175788685,1.85599411429322e-07
2018-09-29 00:00:00+01:00,13.4323770191914,1.85599411429322e-07
2018-09-30 00:00:00+01:00,12.7582814777413,1.85599411429322e-07
2018-10-01 00:00:00+01:00,11.2412258980038,1.85599411429322e-07
2018-10-02 00:00:00+01:00,10.2043224621811,1.85599411429322e-07
2018-10-03 00:00:00+01:00,9.288028302827,1.85599411429322e-07
2018-10-04 00:00:00+01:00,8.49472895108659,1.85599411429322e-07
2018-10-05 00:00:00+01:00,7.65318346369574,1.85599411429322e-07
2018-10-06 00:00:00+01:00,6.71989838226727,1.85599411429322e-07
2018-10-07 00:00:00+01:00,9.26344884706693,1.85599411429322e-07
2018-10-08 00:00:00+01:00,13.9511028677632,1.85599411429322e-07
2018-10-09 00:00:00+01:00,15.6279915048132,1.85599411429322e-07
2018-10-10 00:00:00+01:00,14.3462610320729,1.85599411429322e-07
2018-10-11 00:00:00+01:00,10.9481712459961,1.85599411429322e-07
2018-10-12 00:00:00+01:00,11.5987892363272,1.85599411429322e-07
2018-10-13 00:00:00+01:00,12.8371568340765,1.85599411429322e-07
2018-10-14 00:00:00+01:00,11.0107903138793,1.85599411429322e-07
2018-10-15 00:00:00+01:00,8.65890812822525,1.85599411429322e-07
2018-10-16 00:00:00+01:00,7.54902673649154,1.85599411429322e-07
2018-10-17 00:00:00+01:00,7.10905442657313,1.85599411429322e-07
2018-10-18 00:00:00+01:00,6.87833396459643,0.0
2018-10-19 00:00:00+01:00,6.16265254132648,0.0
2018-10-20 00:00:00+01:00,5.58366799529823,0.0
2018-10-21 00:00:00+01:00,5.34014658207418,0.0
2018-10-22 00:00:00+01:00,10.9332638992624,0.0
2018-10-23 00:00:00+01:00,16.1000283058147,0.0
2018-10-24 00:00:00+01:00,12.7666270185508,0.0
2018-10-25 00:00:00+01:00,9.94035713217313,0.0
2018-10-26 00:00:00+01:00,7.82061295663871,0.0
2018-10-27 00:00:00+01:00,6.83897416212421,0.0
2018-10-28 00:00:00+01:00,6.05289550319643,0.0907111874397881
2018-10-29 00:00:00+01:00,5.36354490120821,0.362844749759152
2018-10-30 00:00:00+01:00,5.31331464869628,0.680369587680867
2018-10-31 00:00:00+01:00,5.51500311270648,0.0
2018-11-01 00:00:00+01:00,6.48226642781879,0.0
2018-11-02 00:00:00+01:00,7.05933015065564,0.0
2018-11-03 00:00:00+01:00,6.65162020078742,0.0
2018-11-04 00:00:00+01:00,6.14420807531881,0.0
2018-11-05 00:00:00+01:00,5.45381709659812,0.0
2018-11-06 00:00:00+01:00,4.84520141388345,0.0
2018-11-07 00:00:00+01:00,4.32684809910377,0.0
2018-11-08 00:00:00+01:00,4.52112907424523,0.0
2018-11-09 00:00:00+01:00,4.79143828958161,0.0
2018-11-10 00:00:00+01:00,7.71739807962615,0.0
2018-11-11 00:00:00+01:00,15.918454078332,0.0
2018-11-12 00:00:00+01:00,19.2734264976852,0.0
2018-11-13 00:00:00+01:00,19.1338109202918,0.0
2018-11-14 00:00:00+01:00,17.7695248755009,0.0
2018-11-15 00:00:00+01:00,14.6016381783122,0.0
2018-11-16 00:00:00+01:00,11.19025811679,0.0
2018-11-17 00:00:00+01:00,8.57562388411778,0.0
2018-11-18 00:00:00+01:00,7.20294449449226,0.0
2018-11-19 00:00:00+01:00,6.37043827927569,0.0
2018-11-20 00:00:00+01:00,5.63793538675742,0.0
2018-11-21 00:00:00+01:00,4.98841184644526,0.0
2018-11-22 00:00:00+01:00,4.4137199662463,0.0
2018-11-23 00:00:00+01:00,3.90729523375135,0.063006433988708
2018-11-24 00:00:00+01:00,3.45897584958644,0.063006433988708
2018-11-25 00:00:00+01:00,3.06170137972555,0.063006433988708
2018-11-26 00:00:00+01:00,2.71005497672277,0.063006433988708
2018-11-27 00:00:00+01:00,2.39962197775485,0.166107871424776
2018-11-28 00:00:00+01:00,3.69475407555278,9.67805844130367
2018-11-29 00:00:00+01:00,9.79278560358369,7.59507398327456
2018-11-30 00:00:00+01:00,19.1852557598981,1.19051151054427
2018-12-01 00:00:00+01:00,20.5913046445868,0.501281870061402
2018-12-02 00:00:00+01:00,19.4944744063277,0.0588366470794276
2018-12-03 00:00:00+01:00,19.1165353486149,0.0
2018-12-04 00:00:00+01:00,16.4809566787518,0.0
2018-12-05 00:00:00+01:00,12.7393750027489,0.31503216994354
2018-12-06 00:00:00+01:00,11.2852971488478,10.2103742090307
2018-12-07 00:00:00+01:00,13.6190404251733,8.20962841473341
2018-12-08 00:00:00+01:00,16.0787138165188,5.13362336630465
2018-12-09 00:00:00+01:00,14.5567072945929,5.09815623930808
2018-12-10 00:00:00+01:00,11.8025066313089,2.71792746431315
2018-12-11 00:00:00+01:00,9.30933237026501,2.71792746431315
2018-12-12 00:00:00+01:00,7.50762693477893,2.71792746431315
2018-12-13 00:00:00+01:00,6.63482698258794,2.71792746431315
2018-12-14 00:00:00+01:00,5.875281200845,3.02723177662135
2018-12-15 00:00:00+01:00,5.39404952424627,7.6672680013066
2018-12-16 00:00:00+01:00,5.00362209981242,8.26545345458892
2018-12-17 00:00:00+01:00,4.5033629183453,8.26545345458892
2018-12-18 00:00:00+01:00,4.00901282101477,9.44469889130617
2018-12-19 00:00:00+01:00,5.02475394215983,4.90535554172028
2018-12-20 00:00:00+01:00,7.68560068534813,3.07054563717041
2018-12-21 00:00:00+01:00,8.6773948530134,3.63929660547623
2018-12-22 00:00:00+01:00,7.43028048498667,3.9428730601491
2018-12-23 00:00:00+01:00,6.57703610930684,3.9428730601491
2018-12-24 00:00:00+01:00,5.86266713652441,9.06357778614046
2018-12-25 00:00:00+01:00,5.99629743318533,1.82098811936018
2018-12-26 00:00:00+01:00,5.70512111530617,0.916241481364807
2018-12-27 00:00:00+01:00,5.21958343702588,0.152455545553588
2018-12-28 00:00:00+01:00,4.68026041734788,0.100440562397725
2018-12-29 00:00:00+01:00,4.31808500574101,0.0650099465482177
2018-12-30 00:00:00+01:00,4.48805775120488,0.627474577273026
2018-12-31 00:00:00+01:00,5.82848420823152,0.426965205126055
2019-01-01 00:00:00+01:00,6.57239866301059,0.00857678767814928
2019-01-02 00:00:00+01:00,5.93406830696437,0.00857678767814928
2019-01-03 00:00:00+01:00,5.25252928837112,0.00857678767814928
2019-01-04 00:00:00+01:00,4.64908221957409,0.0
2019-01-05 00:00:00+01:00,4.1044026488012,0.0
2019-01-06 00:00:00+01:00,3.61935992674856,0.0
2019-01-07 00:00:00+01:00,4.67822265023287,1.66312565877545
2019-01-08 00:00:00+01:00,5.50556049597357,1.66312565877545
2019-01-09 00:00:00+01:00,4.87034319668807,1.66312565877545
2019-01-10 00:00:00+01:00,4.31015716600171,1.66312565877545
2019-01-11 00:00:00+01:00,3.8823845646374,0.749572496962807
2019-01-12 00:00:00+01:00,3.96024052473228,5.02056397599478
2019-01-13 00:00:00+01:00,4.55535432782889,1.49803050238264
2019-01-14 00:00:00+01:00,4.63309971286722,2.12292979363451
2019-01-15 00:00:00+01:00,5.03140461026197,2.4936042059097
2019-01-16 00:00:00+01:00,6.75673561015599,2.33063452901158
2019-01-17 00:00:00+01:00,7.34427488965534,2.33063452901158
