,q,s
2018-09-01 00:00:00+01:00,44.1963053377825,3.24464266165917e-09
2018-09-02 00:00:00+01:00,39.8685346582202,3.24464266165917e-09
2018-09-03 00:00:00+01:00,36.6767358334126,3.24464266165917e-09
2018-09-04 00:00:00+01:00,34.0663656953137,3.24464266165917e-09
2018-09-05 00:00:00+01:00,31.4076475846851,3.24464266165917e-09
2018-09-06 00:00:00+01:00,29.3711040668354,3.24464266165917e-09
2018-09-07 00:00:00+01:00,28.0771080049353,3.24464266165917e-09
2018-09-08 00:00:00+01:00,26.8138810179298,3.24464266165917e-09
2018-09-09 00:00:00+01:00,27.0374383951298,3.24464266165917e-09
2018-09-10 00:00:00+01:00,32.1966415117437,3.24464266165917e-09
2018-09-11 00:00:00+01:00,47.4384197150819,3.24464266165917e-09
2018-09-12 00:00:00+01:00,88.421016118468,3.24464266165917e-09
2018-09-13 00:00:00+01:00,129.809018882578,3.24464266165917e-09
2018-09-14 00:00:00+01:00,150.689602966772,3.24464266165917e-09
2018-09-15 00:00:00+01:00,165.215928072272,3.24464266165917e-09
2018-09-16 00:00:00+01:00,164.159828494881,3.24464266165917e-09
2018-09-17 00:00:00+01:00,158.337122129739,3.24464266165917e-09
2018-09-18 00:00:00+01:00,152.326736892077,3.24464266165917e-09
2018-09-19 00:00:00+01:00,146.381779041346,3.24464266165917e-09
2018-09-20 00:00:00+01:00,145.967699075168,3.24464266165917e-09
2018-09-21 00:00:00+01:00,158.375274274385,3.24464266165917e-09
2018-09-22 00:00:00+01:00,175.822084591051,5.85949805878038
2018-09-23 00:00:00+01:00,168.981326279213,9.12096084535104
2018-09-24 00:00:00+01:00,144.201608859992,12.8797665617455
2018-09-25 00:00:00+01:00,156.990024643004,18.3187021819315
2018-09-26 00:00:00+01:00,180.469122747666,16.2559936664967
2018-09-27 00:00:00+01:00,177.769722316388,5.24490718473161
2018-09-28 00:00:00+01:00,160.345283702148,13.0171850469398
2018-09-29 00:00:00+01:00,166.014208255752,15.9311375552021
2018-09-30 00:00:00+01:00,172.303863840608,16.672059039029
2018-10-01 00:00:00+01:00,151.640400829159,18.5616691781742
2018-10-02 00:00:00+01:00,127.476464103951,18.9456349763681
2018-10-03 00:00:00+01:00,106.633992750892,19.6638409966927
2018-10-04 00:00:00+01:00,119.801782488787,26.8987432580915
2018-10-05 00:00:00+01:00,147.384298017145,31.2988175882418
2018-10-06 00:00:00+01:00,141.610318190251,33.751947797901
2018-10-07 00:00:00+01:00,124.00230862279,46.9188257645878
2018-10-08 00:00:00+01:00,122.359121641131,46.7541279178351
2018-10-09 00:00:00+01:00,153.270467151734,39.7936992294237
2018-10-10 00:00:00+01:00,163.739776292447,35.4264108033932
2018-10-11 00:00:00+01:00,140.679846481572,30.4414185690361
2018-10-12 00:00:00+01:00,140.355996135057,25.9907381659503
2018-10-13 00:00:00+01:00,159.974316734881,22.016088876108
2018-10-14 00:00:00+01:00,172.772757324085,17.7460220033426
2018-10-15 00:00:00+01:00,159.3292069785,17.7669757806068
2018-10-16 00:00:00+01:00,133.996155650834,17.0264953412591
2018-10-17 00:00:00+01:00,123.972394760579,15.2543625448548
2018-10-18 00:00:00+01:00,116.070224055852,17.1027601207707
2018-10-19 00:00:00+01:00,103.639830788415,17.807275318659
2018-10-20 00:00:00+01:00,102.229625386096,20.8061311619194
2018-10-21 00:00:00+01:00,130.578007849734,20.0386297551034
2018-10-22 00:00:00+01:00,156.696143796081,61.158738342879
2018-10-23 00:00:00+01:00,146.703423699494,63.3391369591469
2018-10-24 00:00:00+01:00,124.872655105432,79.3329073408079
2018-10-25 00:00:00+01:00,107.454905817164,77.0083799131725
2018-10-26 00:00:00+01:00,91.5568643721988,77.0287738338285
2018-10-27 00:00:00+01:00,75.7085995283428,77.227370342534
2018-10-28 00:00:00+01:00,63.5459211676457,77.227370342534
2018-10-29 00:00:00+01:00,55.0860783343557,77.2273703425339
2018-10-30 00:00:00+01:00,47.8710893040114,77.847219031124
2018-10-31 00:00:00+01:00,44.4001236214521,73.2079670407988
2018-11-01 00:00:00+01:00,48.2044023040309,68.2139793408166
2018-11-02 00:00:00+01:00,52.3792297759541,64.9368335192154
2018-11-03 00:00:00+01:00,50.3795095894765,64.7060014573959
2018-11-04 00:00:00+01:00,49.3498196697286,52.0769294551088
2018-11-05 00:00:00+01:00,50.1557035875776,43.3729236588339
2018-11-06 00:00:00+01:00,47.5661644039839,39.6847552882964
2018-11-07 00:00:00+01:00,45.310591169282,32.0299082706602
2018-11-08 00:00:00+01:00,43.6745233268304,27.8848338274154
