,q,s
2018-09-01 00:00:00+01:00,10.9822165581613,1.94157391931631e-07
2018-09-02 00:00:00+01:00,10.3656313693137,1.94157391931631e-07
2018-09-03 00:00:00+01:00,12.2675871585075,1.94157391931631e-07
2018-09-04 00:00:00+01:00,14.4992271933845,1.94157391931631e-07
2018-09-05 00:00:00+01:00,13.2593729070216,1.94157391931631e-07
2018-09-06 00:00:00+01:00,10.8063200862522,1.94157391931631e-07
2018-09-07 00:00:00+01:00,10.0039372954899,1.94157391931631e-07
2018-09-08 00:00:00+01:00,9.45556365902449,1.94157391931631e-07
2018-09-09 00:00:00+01:00,8.90916109206801,1.94157391931631e-07
2018-09-10 00:00:00+01:00,8.72838837616244,1.94157391931631e-07
2018-09-11 00:00:00+01:00,11.1064178228797,1.94157391931631e-07
2018-09-12 00:00:00+01:00,31.1118619598851,1.94157391931631e-07
2018-09-13 00:00:00+01:00,42.8512409404611,1.94157391931631e-07
2018-09-14 00:00:00+01:00,31.3875486473447,1.94157391931631e-07
2018-09-15 00:00:00+01:00,30.7696740726453,1.94157391931631e-07
2018-09-16 00:00:00+01:00,29.8704107273991,1.94157391931631e-07
2018-09-17 00:00:00+01:00,25.9842992906767,1.94157391931631e-07
2018-09-18 00:00:00+01:00,22.5933129108392,1.94157391931631e-07
2018-09-19 00:00:00+01:00,19.2613897399594,1.94157391931631e-07
2018-09-20 00:00:00+01:00,15.4072480221803,1.94157391931631e-07
2018-09-21 00:00:00+01:00,25.0777236358361,1.94157391931631e-07
2018-09-22 00:00:00+01:00,84.3408087357297,1.94157391931631e-07
2018-09-23 00:00:00+01:00,121.678062031297,13.2738249825448
2018-09-24 00:00:00+01:00,95.9177651617578,18.961189860849
2018-09-25 00:00:00+01:00,89.2094206486864,17.5329179485902
2018-09-26 00:00:00+01:00,135.294038805654,15.3969084066252
2018-09-27 00:00:00+01:00,150.356025068193,13.6970736984956
2018-09-28 00:00:00+01:00,148.56922724221,33.3149612910663
2018-09-29 00:00:00+01:00,119.094160286545,29.1213161109182
2018-09-30 00:00:00+01:00,129.278374552491,24.9073027913802
2018-10-01 00:00:00+01:00,107.006465740677,25.2779647166214
2018-10-02 00:00:00+01:00,68.4096748736641,30.3000164127109
2018-10-03 00:00:00+01:00,47.9774650112596,37.383892639164
2018-10-04 00:00:00+01:00,47.0753216166488,45.7644622076959
2018-10-05 00:00:00+01:00,49.1027458261163,43.7016165719839
2018-10-06 00:00:00+01:00,47.5975089080769,44.08061592981
2018-10-07 00:00:00+01:00,38.0659106770327,46.7749522664235
2018-10-08 00:00:00+01:00,33.1796785316045,43.4698192018933
2018-10-09 00:00:00+01:00,51.534236566714,40.7870054885505
2018-10-10 00:00:00+01:00,61.4976771642128,34.5331184259729
2018-10-11 00:00:00+01:00,55.9182405630849,26.3668888018772
2018-10-12 00:00:00+01:00,53.9972097060143,18.6081788624294
2018-10-13 00:00:00+01:00,52.3128159500807,11.1740838035889
2018-10-14 00:00:00+01:00,86.5760043342643,5.05573528768933
2018-10-15 00:00:00+01:00,87.9613995633134,5.03588938451069
2018-10-16 00:00:00+01:00,54.6904207957383,5.06268763111424
2018-10-17 00:00:00+01:00,43.4226102005551,3.51503680619656
2018-10-18 00:00:00+01:00,39.5244887391609,3.37099830716773
2018-10-19 00:00:00+01:00,32.2137591288428,3.13930953251029
2018-10-20 00:00:00+01:00,30.8815041845301,3.63677345426645
2018-10-21 00:00:00+01:00,57.2340104947507,2.89000658679611
2018-10-22 00:00:00+01:00,74.5249579661799,15.6312136471642
2018-10-23 00:00:00+01:00,58.7453748985352,32.2886964178397
2018-10-24 00:00:00+01:00,42.3291207359312,54.2481119357874
2018-10-25 00:00:00+01:00,33.4506420812939,69.2625973276725
2018-10-26 00:00:00+01:00,27.6640312723637,72.6578834149934
2018-10-27 00:00:00+01:00,21.8893030372657,73.2330639429514
2018-10-28 00:00:00+01:00,17.2269942679123,73.7207383354707
2018-10-29 00:00:00+01:00,13.5966302366753,74.1326130319696
2018-10-30 00:00:00+01:00,12.0106188623134,74.4041574380333
2018-10-31 00:00:00+01:00,12.3975543351302,72.7099740262129
2018-11-01 00:00:00+01:00,13.8268786901275,70.833796064279
2018-11-02 00:00:00+01:00,20.5392657784322,68.4371484948137
2018-11-03 00:00:00+01:00,24.1952873818882,71.2001593067767
2018-11-04 00:00:00+01:00,27.1732816623178,59.9489279914285
2018-11-05 00:00:00+01:00,33.5990244591206,52.4152131279493
2018-11-06 00:00:00+01:00,31.642951083135,51.3369173520195
2018-11-07 00:00:00+01:00,26.5171716682775,50.1370349562335
2018-11-08 00:00:00+01:00,24.4102942513036,46.4533857090091
2018-11-09 00:00:00+01:00,22.2893020546952,45.665933533138
2018-11-10 00:00:00+01:00,19.7250845614323,43.9528476113727
2018-11-11 00:00:00+01:00,20.2670592263087,39.8128770917513
