,q,s
2018-09-01 00:00:00+01:00,19.7303311928301,0.0
2018-09-02 00:00:00+01:00,17.3693341315513,0.0
2018-09-03 00:00:00+01:00,15.4746320537148,0.0
2018-09-04 00:00:00+01:00,13.7939068649373,0.0
2018-09-05 00:00:00+01:00,12.5870813198469,0.0
2018-09-06 00:00:00+01:00,11.6482720552535,0.0
2018-09-07 00:00:00+01:00,10.4890925009668,0.0
2018-09-08 00:00:00+01:00,9.51907276030849,0.0
2018-09-09 00:00:00+01:00,8.75342533787462,0.0
2018-09-10 00:00:00+01:00,8.5621323216168,0.0
2018-09-11 00:00:00+01:00,8.66776082010698,0.0
2018-09-12 00:00:00+01:00,9.5037435684065,0.0
2018-09-13 00:00:00+01:00,12.207196870901,0.0
2018-09-14 00:00:00+01:00,14.2514904476523,0.0
2018-09-15 00:00:00+01:00,23.4431990836526,0.0
2018-09-16 00:00:00+01:00,32.1992586087823,0.0
2018-09-17 00:00:00+01:00,37.2792345351718,0.0
2018-09-18 00:00:00+01:00,40.2070307738521,0.0
2018-09-19 00:00:00+01:00,39.9539565024564,0.0
2018-09-20 00:00:00+01:00,66.9324893817533,0.0
2018-09-21 00:00:00+01:00,85.6179562913275,0.0
2018-09-22 00:00:00+01:00,107.421508118984,0.0
2018-09-23 00:00:00+01:00,145.762509688743,0.0
2018-09-24 00:00:00+01:00,155.388833339757,0.0
2018-09-25 00:00:00+01:00,178.805352205872,0.0
2018-09-26 00:00:00+01:00,194.290147757559,0.0
2018-09-27 00:00:00+01:00,168.66611456913,0.0
2018-09-28 00:00:00+01:00,145.113246156535,0.0
2018-09-29 00:00:00+01:00,145.643450434941,0.0
2018-09-30 00:00:00+01:00,149.71695001655,0.0
2018-10-01 00:00:00+01:00,132.004974000752,0.0
2018-10-02 00:00:00+01:00,108.907594916227,0.0
2018-10-03 00:00:00+01:00,85.5589113108391,0.0
2018-10-04 00:00:00+01:00,77.0110950863822,0.0
2018-10-05 00:00:00+01:00,98.6338260743301,0.0
2018-10-06 00:00:00+01:00,106.272128017516,0.0
2018-10-07 00:00:00+01:00,86.7372199690348,0.0
2018-10-08 00:00:00+01:00,91.3070764772473,0.0
2018-10-09 00:00:00+01:00,112.379579266732,0.0
2018-10-10 00:00:00+01:00,108.59114532929,0.0
2018-10-11 00:00:00+01:00,87.903878558571,0.0
2018-10-12 00:00:00+01:00,69.7695678668215,0.0
2018-10-13 00:00:00+01:00,59.8265259768131,0.0
2018-10-14 00:00:00+01:00,56.5148792212663,0.0
2018-10-15 00:00:00+01:00,50.4411892751635,0.0
2018-10-16 00:00:00+01:00,42.9829064429229,0.0
2018-10-17 00:00:00+01:00,39.180758130562,0.0
2018-10-18 00:00:00+01:00,52.7668773052149,0.0
2018-10-19 00:00:00+01:00,62.8271375946245,0.0
2018-10-20 00:00:00+01:00,63.9756057609984,0.0
2018-10-21 00:00:00+01:00,76.1988716442854,0.0
2018-10-22 00:00:00+01:00,81.4709635306451,0.0
2018-10-23 00:00:00+01:00,71.660695455032,10.1942092832789
2018-10-24 00:00:00+01:00,57.390155139235,29.0656437792573
2018-10-25 00:00:00+01:00,46.498137294574,29.5426597284665
2018-10-26 00:00:00+01:00,38.8941596473084,29.329159386384
2018-10-27 00:00:00+01:00,32.8863426547039,29.4074495207079
2018-10-28 00:00:00+01:00,27.5062885995336,29.8520561227066
2018-10-29 00:00:00+01:00,26.7231902786529,22.115989470082
2018-10-30 00:00:00+01:00,36.8124462494921,6.36117111592271
2018-10-31 00:00:00+01:00,47.8280316700027,0.276461644357625
2018-11-01 00:00:00+01:00,44.6430747794115,0.310379085637126
2018-11-02 00:00:00+01:00,41.7202773955054,1.94184043114979
2018-11-03 00:00:00+01:00,39.1527126194664,2.26129073878518
2018-11-04 00:00:00+01:00,33.3989951685376,2.43806445477563
2018-11-05 00:00:00+01:00,28.1904188202349,2.48259566106687
2018-11-06 00:00:00+01:00,23.598183014175,2.48317596254484
2018-11-07 00:00:00+01:00,19.7307186541669,2.51867935882721
2018-11-08 00:00:00+01:00,16.5511413068199,2.46877922657939
2018-11-09 00:00:00+01:00,15.8187093145686,3.22389768145562
2018-11-10 00:00:00+01:00,15.5875342686686,3.29713993798889
2018-11-11 00:00:00+01:00,18.216452875858,5.07927840081394
2018-11-12 00:00:00+01:00,28.1086712583455,5.53918848623455
2018-11-13 00:00:00+01:00,32.4946721607015,5.90111654068457
2018-11-14 00:00:00+01:00,33.3728631339109,7.8711390871457
2018-11-15 00:00:00+01:00,42.9058130214287,7.67580437190253
2018-11-16 00:00:00+01:00,53.9729657699622,6.56251105713951
2018-11-17 00:00:00+01:00,51.0317328656019,6.56421114135523
2018-11-18 00:00:00+01:00,42.0005899455655,6.59702610579478
2018-11-19 00:00:00+01:00,35.1033862135968,7.00493347287143
2018-11-20 00:00:00+01:00,29.3333827658947,7.02170142744589
2018-11-21 00:00:00+01:00,24.5025289184376,7.04448183835942
2018-11-22 00:00:00+01:00,20.4976569914654,7.94772575597534
2018-11-23 00:00:00+01:00,17.362927090623,9.52935609697637
2018-11-24 00:00:00+01:00,15.0216109818122,9.75221598879117
2018-11-25 00:00:00+01:00,13.3813030019059,11.7528048487301
2018-11-26 00:00:00+01:00,11.7263364917532,11.9544821241127
2018-11-27 00:00:00+01:00,9.84268136741037,13.1892204684101
2018-11-28 00:00:00+01:00,8.26248744714488,13.3284426385906
2018-11-29 00:00:00+01:00,7.04833065122816,17.4958440213993
2018-11-30 00:00:00+01:00,6.82231777540609,16.573492385311
2018-12-01 00:00:00+01:00,10.3825726603387,10.9753168214741
2018-12-02 00:00:00+01:00,12.5422975086832,12.0554124838226
2018-12-03 00:00:00+01:00,13.3547685914352,14.1489285801716
2018-12-04 00:00:00+01:00,14.6988954033604,19.6479580734773
2018-12-05 00:00:00+01:00,14.4881915402369,25.312838418265
2018-12-06 00:00:00+01:00,12.9765463420741,27.5454869551045
2018-12-07 00:00:00+01:00,11.1440591432381,27.5622778544244
2018-12-08 00:00:00+01:00,9.34540147846682,28.6366220889476
