,q,s
2018-09-01 00:00:00+01:00,85.3152867592848,0.0
2018-09-02 00:00:00+01:00,84.5507513898455,0.0
2018-09-03 00:00:00+01:00,83.813413571951,0.0
2018-09-04 00:00:00+01:00,83.3524251546154,0.0
2018-09-05 00:00:00+01:00,82.8555426305104,0.0
2018-09-06 00:00:00+01:00,82.1130497514342,0.0
2018-09-07 00:00:00+01:00,81.477760593132,0.0
2018-09-08 00:00:00+01:00,80.8394409517562,0.0
2018-09-09 00:00:00+01:00,80.1150149526068,0.0
2018-09-10 00:00:00+01:00,79.3970807478347,0.0
2018-09-11 00:00:00+01:00,78.9139585623547,0.0
2018-09-12 00:00:00+01:00,78.5114997361404,0.0
2018-09-13 00:00:00+01:00,77.8945275671215,0.0
2018-09-14 00:00:00+01:00,77.301530357049,0.0
2018-09-15 00:00:00+01:00,85.121557120751,0.0
2018-09-16 00:00:00+01:00,91.7763225733764,0.0
2018-09-17 00:00:00+01:00,86.3052993871253,0.0
2018-09-18 00:00:00+01:00,79.8220485672426,0.0
2018-09-19 00:00:00+01:00,80.9148072413838,0.0
2018-09-20 00:00:00+01:00,89.5845777806135,0.0
2018-09-21 00:00:00+01:00,95.7448489828664,0.0
2018-09-22 00:00:00+01:00,106.63742047648,0.0
2018-09-23 00:00:00+01:00,125.031602406888,0.0
2018-09-24 00:00:00+01:00,129.106894136517,0.0
2018-09-25 00:00:00+01:00,122.501363599872,0.141885084796485
2018-09-26 00:00:00+01:00,123.376300799621,0.885772860408066
2018-09-27 00:00:00+01:00,123.884191006453,0.932466636240347
2018-09-28 00:00:00+01:00,225.768422048752,0.453229671485423
2018-09-29 00:00:00+01:00,211.93861608454,0.632642169930556
2018-09-30 00:00:00+01:00,200.932775788158,0.439052723214182
2018-10-01 00:00:00+01:00,190.338773139052,0.315473414529091
2018-10-02 00:00:00+01:00,179.10073412568,0.402438611345068
2018-10-03 00:00:00+01:00,168.220514998552,0.590166944324081
2018-10-04 00:00:00+01:00,157.956419720408,0.91648884610634
2018-10-05 00:00:00+01:00,148.69153022536,5.26197042516622
2018-10-06 00:00:00+01:00,139.853667424989,5.59496671424671
2018-10-07 00:00:00+01:00,130.70533138542,5.63850125439368
2018-10-08 00:00:00+01:00,122.072377880961,6.03133906225663
2018-10-09 00:00:00+01:00,113.951450356068,6.30730653210217
2018-10-10 00:00:00+01:00,106.755657999406,6.77130664570008
2018-10-11 00:00:00+01:00,99.8920947961396,6.77738100515115
2018-10-12 00:00:00+01:00,96.6778103279053,7.09922955789919
2018-10-13 00:00:00+01:00,122.25441973701,0.844013318655854
2018-10-14 00:00:00+01:00,162.724704788581,0.406541581121019
2018-10-15 00:00:00+01:00,187.382870959672,0.0
2018-10-16 00:00:00+01:00,178.720725624921,0.0080727073073872
2018-10-17 00:00:00+01:00,167.636283158884,0.0227362755166682
2018-10-18 00:00:00+01:00,157.270817027734,0.130821636759543
2018-10-19 00:00:00+01:00,147.446217417672,0.33110763050407
2018-10-20 00:00:00+01:00,138.429463232594,2.3845858289857
2018-10-21 00:00:00+01:00,138.775764427101,0.731512448581498
2018-10-22 00:00:00+01:00,136.401379947187,0.848849733523189
2018-10-23 00:00:00+01:00,127.626580031231,1.07684067257547
2018-10-24 00:00:00+01:00,119.453292481712,1.82407117511928
2018-10-25 00:00:00+01:00,112.022041583605,3.57304038605117
2018-10-26 00:00:00+01:00,104.902672331685,3.9547219677239
2018-10-27 00:00:00+01:00,100.782852237249,4.78515776200546
2018-10-28 00:00:00+01:00,99.9157666745651,5.09854466368103
2018-10-29 00:00:00+01:00,99.0372070201457,5.30222646449855
2018-10-30 00:00:00+01:00,98.2282967847906,7.41091411630052
2018-10-31 00:00:00+01:00,97.5835580320541,12.3556806176718
2018-11-01 00:00:00+01:00,96.8849810200132,12.9577953062526
2018-11-02 00:00:00+01:00,96.061367112211,13.7082231650763
2018-11-03 00:00:00+01:00,95.3093044626518,16.196922380365
2018-11-04 00:00:00+01:00,94.639869996626,19.307779800709
2018-11-05 00:00:00+01:00,93.9105975374681,19.9249840049598
2018-11-06 00:00:00+01:00,93.0918476794293,20.0251155148314
2018-11-07 00:00:00+01:00,92.2721999506425,20.3590007839961
2018-11-08 00:00:00+01:00,91.4670126558577,20.6863032073989
2018-11-09 00:00:00+01:00,90.6627316410942,20.8353619038858
2018-11-10 00:00:00+01:00,89.9072561214967,20.7174249089842
2018-11-11 00:00:00+01:00,89.7816378646554,20.0453618758099
2018-11-12 00:00:00+01:00,100.652846575149,17.2189492459126
2018-11-13 00:00:00+01:00,112.629803295137,17.4709401796121
2018-11-14 00:00:00+01:00,105.224580194568,19.1474954819844
2018-11-15 00:00:00+01:00,99.3907371093593,19.3649446047865
2018-11-16 00:00:00+01:00,104.060207295371,16.7392327561558
2018-11-17 00:00:00+01:00,152.292579278621,7.7378113620234
2018-11-18 00:00:00+01:00,173.7629265197,8.05593006437666
2018-11-19 00:00:00+01:00,162.739616280006,8.22335038987107
2018-11-20 00:00:00+01:00,152.991033729953,8.17184560655574
2018-11-21 00:00:00+01:00,143.690690860802,8.16667981528602
2018-11-22 00:00:00+01:00,135.429981736415,8.83551008320395
2018-11-23 00:00:00+01:00,129.391379135593,19.1022985218618
2018-11-24 00:00:00+01:00,122.930920602146,20.8753026244829
2018-11-25 00:00:00+01:00,115.741189309363,24.9550215286159
2018-11-26 00:00:00+01:00,108.996339180957,27.1981774603598
2018-11-27 00:00:00+01:00,101.840449978599,27.2335332524037
2018-11-28 00:00:00+01:00,96.3822756224705,27.3735819472998
2018-11-29 00:00:00+01:00,95.3418016012621,27.8775770348316
2018-11-30 00:00:00+01:00,94.5288860729849,28.6265679138172
2018-12-01 00:00:00+01:00,94.8516808807519,28.244286921989
2018-12-02 00:00:00+01:00,94.5177805636118,28.5375448854076
2018-12-03 00:00:00+01:00,93.4089438870539,29.5110343200284
2018-12-04 00:00:00+01:00,92.6387364969046,30.5709009485555
2018-12-05 00:00:00+01:00,92.1012439142735,38.1471317653622
2018-12-06 00:00:00+01:00,91.5268540684863,38.5278808357634
2018-12-07 00:00:00+01:00,90.7456350094718,39.3171781952337
2018-12-08 00:00:00+01:00,89.9761298750447,39.8694013244497
2018-12-09 00:00:00+01:00,89.3993191426228,46.0659305385511
2018-12-10 00:00:00+01:00,88.8179802234237,46.8020200695987
2018-12-11 00:00:00+01:00,88.0782223285741,47.767360890944
2018-12-12 00:00:00+01:00,87.3201507403736,47.7938847998631
