,q,s
2018-09-01 00:00:00+01:00,9.723026672175,2.06642708680579e-07
2018-09-02 00:00:00+01:00,8.48937468576634,2.06642708680579e-07
2018-09-03 00:00:00+01:00,7.24590475159235,2.06642708680579e-07
2018-09-04 00:00:00+01:00,6.20059485804962,2.06642708680579e-07
2018-09-05 00:00:00+01:00,5.82616630322906,2.06642708680579e-07
2018-09-06 00:00:00+01:00,5.62563402597569,2.06642708680579e-07
2018-09-07 00:00:00+01:00,5.43200391939983,2.06642708680579e-07
2018-09-08 00:00:00+01:00,5.24503841596015,2.06642708680579e-07
2018-09-09 00:00:00+01:00,5.06450812501206,2.06642708680579e-07
2018-09-10 00:00:00+01:00,5.3065924939241,1.83400819595466e-07
2018-09-11 00:00:00+01:00,6.17538007742637,1.83400819595466e-07
2018-09-12 00:00:00+01:00,6.92446723422517,1.83400819595466e-07
2018-09-13 00:00:00+01:00,6.72109578747583,1.83400819595466e-07
2018-09-14 00:00:00+01:00,7.70526803194718,1.83400819595466e-07
2018-09-15 00:00:00+01:00,8.51860077693514,1.83400819595466e-07
2018-09-16 00:00:00+01:00,8.18099410237445,1.83400819595466e-07
2018-09-17 00:00:00+01:00,7.88714116181673,1.83400819595466e-07
2018-09-18 00:00:00+01:00,7.26927985132085,1.83400819595466e-07
2018-09-19 00:00:00+01:00,7.16695979010089,1.83400819595466e-07
2018-09-20 00:00:00+01:00,6.79854086707333,1.83400819595466e-07
2018-09-21 00:00:00+01:00,7.65691216519262,1.83400819595466e-07
2018-09-22 00:00:00+01:00,8.47106863011264,1.83400819595466e-07
2018-09-23 00:00:00+01:00,7.6784940355579,1.83400819595466e-07
2018-09-24 00:00:00+01:00,6.91976296455015,1.83400819595466e-07
2018-09-25 00:00:00+01:00,6.9473572558223,1.83400819595466e-07
2018-09-26 00:00:00+01:00,7.71783140312304,1.83400819595466e-07
2018-09-27 00:00:00+01:00,7.81781360442937,1.83400819595466e-07
2018-09-28 00:00:00+01:00,7.26868553930077,1.83400819595466e-07
2018-09-29 00:00:00+01:00,7.39326964398868,1.83400819595466e-07
2018-09-30 00:00:00+01:00,7.32242344427033,1.83400819595466e-07
2018-10-01 00:00:00+01:00,6.82430216719571,1.83400819595466e-07
2018-10-02 00:00:00+01:00,6.60245949458302,0.120206430302516
2018-10-03 00:00:00+01:00,6.38707197878641,0.120206430302516
2018-10-04 00:00:00+01:00,7.32361008927061,0.568691414652249
2018-10-05 00:00:00+01:00,7.99475199677027,0.0
2018-10-06 00:00:00+01:00,7.44911545132555,0.0242808998000659
2018-10-07 00:00:00+01:00,6.91573649212463,0.0563047783055108
2018-10-08 00:00:00+01:00,6.66332786747688,0.0
2018-10-09 00:00:00+01:00,6.54496981294296,0.0
2018-10-10 00:00:00+01:00,6.31969685765218,0.0
