,q,s
2018-09-01 00:00:00+01:00,68.5165247671681,9.71835118783953e-08
2018-09-02 00:00:00+01:00,62.1739176413562,9.71835118783953e-08
2018-09-03 00:00:00+01:00,56.2420035798689,9.71835118783953e-08
2018-09-04 00:00:00+01:00,50.9030452312321,9.71835118783953e-08
2018-09-05 00:00:00+01:00,46.2233358705639,9.71835118783953e-08
2018-09-06 00:00:00+01:00,41.8996851670011,9.71835118783953e-08
2018-09-07 00:00:00+01:00,37.8540196533876,9.71835118783953e-08
2018-09-08 00:00:00+01:00,34.0621672672599,9.71835118783953e-08
2018-09-09 00:00:00+01:00,32.2006803091645,9.71835118783953e-08
2018-09-10 00:00:00+01:00,35.6441870626772,9.71835118783953e-08
2018-09-11 00:00:00+01:00,41.3022884056787,9.71835118783953e-08
2018-09-12 00:00:00+01:00,52.786884303554,9.71835118783953e-08
2018-09-13 00:00:00+01:00,61.3349234324179,9.71835118783953e-08
2018-09-14 00:00:00+01:00,67.5427681032468,9.71835118783953e-08
2018-09-15 00:00:00+01:00,72.2225865532682,9.71835118783953e-08
2018-09-16 00:00:00+01:00,71.509753181704,9.71835118783953e-08
2018-09-17 00:00:00+01:00,70.7820571049035,9.71835118783953e-08
2018-09-18 00:00:00+01:00,71.3460938397711,9.71835118783953e-08
2018-09-19 00:00:00+01:00,82.0673863314978,9.71835118783953e-08
2018-09-20 00:00:00+01:00,88.6895575642433,9.71835118783953e-08
2018-09-21 00:00:00+01:00,109.789055132659,9.71835118783953e-08
2018-09-22 00:00:00+01:00,138.746800309673,9.71835118783953e-08
2018-09-23 00:00:00+01:00,124.63505104678,0.309028981987144
2018-09-24 00:00:00+01:00,104.690476634698,1.20762331111472
2018-09-25 00:00:00+01:00,128.737949917186,2.09602200127681
2018-09-26 00:00:00+01:00,172.937972430042,3.46649792518857
2018-09-27 00:00:00+01:00,164.36604088553,3.82763415835717
2018-09-28 00:00:00+01:00,126.486812492219,4.63476868446867
2018-09-29 00:00:00+01:00,119.872138493702,5.38383811426984
2018-09-30 00:00:00+01:00,111.551243664279,5.10989988670871
2018-10-01 00:00:00+01:00,93.7667793189069,5.27860690318462
2018-10-02 00:00:00+01:00,86.3214532166798,5.72564310445536
2018-10-03 00:00:00+01:00,79.3567678677372,5.72564310445536
2018-10-04 00:00:00+01:00,79.4460513783059,7.36153931137281
2018-10-05 00:00:00+01:00,85.9764918618848,6.97015699197975
2018-10-06 00:00:00+01:00,86.4619620648586,7.19837217949266
2018-10-07 00:00:00+01:00,79.9130168325729,7.6454083807634
2018-10-08 00:00:00+01:00,77.3781641312078,7.79072485145766
2018-10-09 00:00:00+01:00,76.1828922599116,7.36745072124699
2018-10-10 00:00:00+01:00,73.7898225368119,6.87145001905885
2018-10-11 00:00:00+01:00,69.6129467522649,6.13702040562706
2018-10-12 00:00:00+01:00,65.7730146393674,5.5438266896275
2018-10-13 00:00:00+01:00,79.4120572648827,3.07734039858198
2018-10-14 00:00:00+01:00,110.474007705406,1.14862665177893
2018-10-15 00:00:00+01:00,111.4725850658,1.16254366892857
2018-10-16 00:00:00+01:00,92.769656835399,1.16206269024865
2018-10-17 00:00:00+01:00,87.2528838500597,1.39047534423395
2018-10-18 00:00:00+01:00,83.7671398114453,1.57857988281007
2018-10-19 00:00:00+01:00,80.2331629793039,1.7666844213862
2018-10-20 00:00:00+01:00,78.9497335441261,2.15632953700817
2018-10-21 00:00:00+01:00,80.0336646626187,2.59971880650903
2018-10-22 00:00:00+01:00,77.8418573302536,5.27450256309773
2018-10-23 00:00:00+01:00,72.2965103825374,7.80177832060023
2018-10-24 00:00:00+01:00,67.4965580610634,9.76911646793694
