,q,s
2018-09-01 00:00:00+01:00,274.5141437911505,261.6160648541306
2018-09-02 00:00:00+01:00,246.40529935551834,250.63432497086816
2018-09-03 00:00:00+01:00,232.90294715736513,242.38507657767389
2018-09-04 00:00:00+01:00,221.88203479734597,234.58960388490084
2018-09-05 00:00:00+01:00,216.7608035236463,224.3461829655397
2018-09-06 00:00:00+01:00,257.2946758240397,213.77035821568722
2018-09-07 00:00:00+01:00,421.1234661733563,205.36738840094975
2018-09-08 00:00:00+01:00,546.7696973967666,199.65476396831812
2018-09-09 00:00:00+01:00,652.3948700312766,209.80575507712
2018-09-10 00:00:00+01:00,757.81614987325,228.3376211967062
2018-09-11 00:00:00+01:00,901.1628146234964,361.162037340622
2018-09-12 00:00:00+01:00,1012.2561198831751,453.7986027597469
2018-09-13 00:00:00+01:00,1003.4179672654716,536.2810408997442
2018-09-14 00:00:00+01:00,948.9483695914487,614.5021476163532
2018-09-15 00:00:00+01:00,833.8482800037494,684.5325698756852
2018-09-16 00:00:00+01:00,784.8434583095022,714.3834863455922
2018-09-17 00:00:00+01:00,754.0880703340756,592.8245181844632
2018-09-18 00:00:00+01:00,686.2508535681507,488.17363687002756
2018-09-19 00:00:00+01:00,740.9320318633055,521.3043659299456
2018-09-20 00:00:00+01:00,856.1078113996033,666.4892704889926
2018-09-21 00:00:00+01:00,1079.0423943877581,973.6248203071191
2018-09-22 00:00:00+01:00,1175.4892116839594,1252.4360313954403
2018-09-23 00:00:00+01:00,989.6438699343528,1485.5755588851248
2018-09-24 00:00:00+01:00,752.5660327883988,2307.7908790421375
2018-09-25 00:00:00+01:00,833.142007979518,2448.905683126845
2018-09-26 00:00:00+01:00,1005.1049746372546,1632.2375714455943
2018-09-27 00:00:00+01:00,1020.4667028957005,1228.4271686708526
2018-09-28 00:00:00+01:00,889.9190859110928,1729.1380715294042
2018-09-29 00:00:00+01:00,802.8128019764426,1828.3868712856172
2018-09-30 00:00:00+01:00,759.5126807036511,1933.8333884091376
2018-10-01 00:00:00+01:00,612.0584156315861,2239.620247085144
2018-10-02 00:00:00+01:00,489.30034950493786,2408.1515900573227
2018-10-03 00:00:00+01:00,406.7481994271152,2847.2645894479842
2018-10-04 00:00:00+01:00,443.60090127202835,3131.9754803803303
2018-10-05 00:00:00+01:00,512.7655964162059,3228.207739539366
2018-10-06 00:00:00+01:00,447.32739212701966,3804.620334769572
2018-10-07 00:00:00+01:00,378.793459398738,3982.725472750103
2018-10-08 00:00:00+01:00,448.41977564999837,3787.1361959677724
2018-10-09 00:00:00+01:00,751.2897360023999,3415.8907165779565
2018-10-10 00:00:00+01:00,807.1596622146826,2954.958570627567
2018-10-11 00:00:00+01:00,665.9587329755251,2490.790837218468
2018-10-12 00:00:00+01:00,771.7500739524145,2008.9605905475962
2018-10-13 00:00:00+01:00,1138.6386472585993,1508.4732096215578
2018-10-14 00:00:00+01:00,1391.6212131957864,1375.6684875139724
2018-10-15 00:00:00+01:00,1149.8190594698103,1337.6399066951649
2018-10-16 00:00:00+01:00,808.192834624341,1256.0120910751734
2018-10-17 00:00:00+01:00,666.5849852048774,1234.133383492956
2018-10-18 00:00:00+01:00,594.2306830909621,1258.9150374401659
2018-10-19 00:00:00+01:00,502.8747683245467,1356.2931252879243
2018-10-20 00:00:00+01:00,463.5391438421752,1504.190241800439
2018-10-21 00:00:00+01:00,611.4835398037641,2962.9495918433704
2018-10-22 00:00:00+01:00,746.5790708356006,3380.748256005685
2018-10-23 00:00:00+01:00,648.509468240228,3868.2517967780336
2018-10-24 00:00:00+01:00,503.47671610351097,4015.265971571815
2018-10-25 00:00:00+01:00,411.0877995966483,4051.07399447247
2018-10-26 00:00:00+01:00,336.3527296137268,4065.172969981331
2018-10-27 00:00:00+01:00,274.4709482172673,4082.068229452748
2018-10-28 00:00:00+01:00,232.18032963753114,4191.251957814337
2018-10-29 00:00:00+01:00,203.7036991662355,4609.615880400966
2018-10-30 00:00:00+01:00,189.8804772460691,4893.259302722218
2018-10-31 00:00:00+01:00,200.13977437724824,5152.8901678477905
2018-11-01 00:00:00+01:00,232.85910411047888,5306.322781852036
2018-11-02 00:00:00+01:00,272.1237976384654,5470.725448444156
2018-11-03 00:00:00+01:00,268.15843534293657,5179.182963903118
2018-11-04 00:00:00+01:00,264.8458832989879,4888.568737735326
2018-11-05 00:00:00+01:00,276.3518497214915,4691.284559640624
2018-11-06 00:00:00+01:00,266.396409585581,4457.646051721385
2018-11-07 00:00:00+01:00,262.4352948860662,4274.218906603784
2018-11-08 00:00:00+01:00,273.5255996009228,4240.389766008197
2018-11-09 00:00:00+01:00,271.581709878112,4245.930548477788
2018-11-10 00:00:00+01:00,342.88993077850387,4189.293135381186
