,q,s
2018-09-01 00:00:00+01:00,152.301426053094,31.307169571010892
2018-09-02 00:00:00+01:00,140.86827193861956,27.55037474844219
2018-09-03 00:00:00+01:00,132.56486362204913,27.37965631199249
2018-09-04 00:00:00+01:00,125.0389008593419,27.342813664730993
2018-09-05 00:00:00+01:00,116.61627710975995,27.078298725361993
2018-09-06 00:00:00+01:00,109.4920146116739,27.307151495826893
2018-09-07 00:00:00+01:00,104.13106934857463,25.648361570605992
2018-09-08 00:00:00+01:00,101.34681092108393,24.882887659304593
2018-09-09 00:00:00+01:00,99.23925390983118,20.788799873322972
2018-09-10 00:00:00+01:00,126.1469114834096,20.455069810957372
2018-09-11 00:00:00+01:00,131.23809176672947,23.76017545530687
2018-09-12 00:00:00+01:00,135.3889018074593,24.057035245544572
2018-09-13 00:00:00+01:00,136.0465233234925,22.34644262183417
2018-09-14 00:00:00+01:00,141.55529294790915,101.82757488869403
2018-09-15 00:00:00+01:00,152.1832613284082,102.01284790129188
2018-09-16 00:00:00+01:00,154.5063944792482,102.21091959497338
2018-09-17 00:00:00+01:00,152.4681989020754,91.27092876580767
2018-09-18 00:00:00+01:00,151.4698952838801,134.74366115397035
2018-09-19 00:00:00+01:00,158.45696378460815,122.91504125900137
2018-09-20 00:00:00+01:00,167.76592479541404,115.14581111449337
2018-09-21 00:00:00+01:00,188.44661966814581,114.8883084845187
2018-09-22 00:00:00+01:00,224.983643155422,188.55419815916534
2018-09-23 00:00:00+01:00,249.00917372365714,282.0001274323355
2018-09-24 00:00:00+01:00,240.18169246115582,381.7739384547576
2018-09-25 00:00:00+01:00,264.3161975300861,470.23012037348786
2018-09-26 00:00:00+01:00,306.70934086994725,357.18280657713285
2018-09-27 00:00:00+01:00,297.93966305599315,395.129736546152
2018-09-28 00:00:00+01:00,256.53812741368677,554.9862086268797
2018-09-29 00:00:00+01:00,242.6756516651969,545.9880849155145
2018-09-30 00:00:00+01:00,230.63476502089463,599.4367474160053
2018-10-01 00:00:00+01:00,208.27354785016766,723.5906844576007
2018-10-02 00:00:00+01:00,188.29818875730504,744.4417335440472
2018-10-03 00:00:00+01:00,171.67771558697333,985.9905284404454
2018-10-04 00:00:00+01:00,170.4053439080693,1044.5256659490854
2018-10-05 00:00:00+01:00,183.35707001384924,1075.1507460772946
2018-10-06 00:00:00+01:00,180.41604388132268,1113.7243172649603
2018-10-07 00:00:00+01:00,164.93142749856787,1275.2761396155925
2018-10-08 00:00:00+01:00,160.71878597318255,1306.4671165088844
2018-10-09 00:00:00+01:00,169.22357867949088,1213.6339349401096
2018-10-10 00:00:00+01:00,173.9514569941542,1060.5811785004828
2018-10-11 00:00:00+01:00,172.34879173450187,913.634571452037
2018-10-12 00:00:00+01:00,173.38723968700577,672.9993874045668
2018-10-13 00:00:00+01:00,191.00312257025757,468.455189806814
2018-10-14 00:00:00+01:00,220.41778071156776,462.5023054313514
2018-10-15 00:00:00+01:00,220.06177940603916,462.90213910519793
2018-10-16 00:00:00+01:00,197.96405389586494,486.34914201855804
2018-10-17 00:00:00+01:00,184.19362486967353,541.6610130717957
2018-10-18 00:00:00+01:00,185.01610012689065,546.7056207083787
2018-10-19 00:00:00+01:00,181.19688187196644,619.6607473458548
2018-10-20 00:00:00+01:00,176.1058005417917,746.6121844691203
2018-10-21 00:00:00+01:00,186.02740195841835,978.7034945720341
2018-10-22 00:00:00+01:00,185.5243451963718,1160.1558113023652
2018-10-23 00:00:00+01:00,170.28799553509603,1339.0094488756254
2018-10-24 00:00:00+01:00,156.71000893792788,1415.0942937619777
2018-10-25 00:00:00+01:00,144.86510949468453,1458.2860549435688
2018-10-26 00:00:00+01:00,135.59865258497078,1483.9502081950275
2018-10-27 00:00:00+01:00,127.33298274932173,1488.28144012271
2018-10-28 00:00:00+01:00,118.480928426709,1552.0743387411137
2018-10-29 00:00:00+01:00,110.76671195536639,2753.286244496306
2018-10-30 00:00:00+01:00,108.63303294871685,2858.909882068172
2018-10-31 00:00:00+01:00,113.76133957536896,2827.012647285952
2018-11-01 00:00:00+01:00,118.30723958399278,3068.9305684919464
2018-11-02 00:00:00+01:00,129.96767953222647,3070.560926462516
2018-11-03 00:00:00+01:00,136.28529398707022,2919.3285933943007
2018-11-04 00:00:00+01:00,132.61837754806777,2885.202988868858
2018-11-05 00:00:00+01:00,131.4805753423061,2858.25998167363
2018-11-06 00:00:00+01:00,125.5682240065566,2796.1681025614257
2018-11-07 00:00:00+01:00,119.89647532719559,2692.176524209521
2018-11-08 00:00:00+01:00,118.6099532345527,2711.303828985865
2018-11-09 00:00:00+01:00,120.4576495168452,2647.5698990515084
2018-11-10 00:00:00+01:00,134.95627030310183,2485.8768918993333
2018-11-11 00:00:00+01:00,174.74358065652152,2405.9345133005495
2018-11-12 00:00:00+01:00,214.0083170106459,2430.1982894961316
2018-11-13 00:00:00+01:00,209.33188643842897,2563.360450824426
2018-11-14 00:00:00+01:00,189.04084613203477,2560.518185406243
2018-11-15 00:00:00+01:00,181.05478645249698,2384.973769339998
2018-11-16 00:00:00+01:00,188.9716801595725,2286.8713053354277
2018-11-17 00:00:00+01:00,188.59800321832157,2294.0589365255296
2018-11-18 00:00:00+01:00,172.6799025523837,2309.510855980785
2018-11-19 00:00:00+01:00,157.73914273469111,2316.5877054935877
2018-11-20 00:00:00+01:00,144.8300936590093,2322.7673408217843
2018-11-21 00:00:00+01:00,133.51661360120886,2340.2160537110244
2018-11-22 00:00:00+01:00,123.83244151977784,2388.7782391796536
2018-11-23 00:00:00+01:00,116.09863879880658,2416.2419655195035
2018-11-24 00:00:00+01:00,109.25559186678815,2480.9581567214063
2018-11-25 00:00:00+01:00,103.1861487081162,2510.125000826132
2018-11-26 00:00:00+01:00,97.77365596454577,2549.826352730285
2018-11-27 00:00:00+01:00,93.57540345540868,2577.2124463296627
2018-11-28 00:00:00+01:00,89.86379252490485,2688.713893906959
2018-11-29 00:00:00+01:00,87.42275484031107,2579.2504058126337
2018-11-30 00:00:00+01:00,89.6021503022017,2559.876128517758
2018-12-01 00:00:00+01:00,91.24405420533704,2769.780967637798
2018-12-02 00:00:00+01:00,94.13683608657206,3311.5241930844163
2018-12-03 00:00:00+01:00,104.19662928097382,3931.0482382128466
2018-12-04 00:00:00+01:00,112.27890631871023,4076.478024175962
2018-12-05 00:00:00+01:00,109.47359420770144,4143.539053106559
2018-12-06 00:00:00+01:00,104.65564710810881,4440.61355840157
2018-12-07 00:00:00+01:00,102.00915685997687,5638.818998851301
2018-12-08 00:00:00+01:00,104.47728336802562,6260.0313608172055
2018-12-09 00:00:00+01:00,105.53108097510491,6486.201752967186
2018-12-10 00:00:00+01:00,102.36289403764145,6500.438158990879
2018-12-11 00:00:00+01:00,98.12380308288665,6517.126992031907
2018-12-12 00:00:00+01:00,94.02189978003467,6533.285750755116
2018-12-13 00:00:00+01:00,90.3465033610196,6542.999862651686
2018-12-14 00:00:00+01:00,87.33499989279005,6573.861422550382
2018-12-15 00:00:00+01:00,84.85678736633155,6750.423419996672
2018-12-16 00:00:00+01:00,82.82784022540322,7019.962291490023
2018-12-17 00:00:00+01:00,81.48350115137691,7135.004722476181
2018-12-18 00:00:00+01:00,79.84024686967659,7371.58583930085
2018-12-19 00:00:00+01:00,78.47058181813766,7532.195068000643
2018-12-20 00:00:00+01:00,77.1887649988774,7624.647869466597
2018-12-21 00:00:00+01:00,75.47312862980863,7668.461575732722
2018-12-22 00:00:00+01:00,73.78451481909872,7776.42067898304
2018-12-23 00:00:00+01:00,73.1152758766531,8080.431904428796
2018-12-24 00:00:00+01:00,73.50031749047541,8324.518731157186
2018-12-25 00:00:00+01:00,74.82361128050033,8497.111213343533
2018-12-26 00:00:00+01:00,77.63059405640261,8573.383213914069
2018-12-27 00:00:00+01:00,78.67185792340277,8753.132902386842
2018-12-28 00:00:00+01:00,78.55475855242075,8941.202746060217
2018-12-29 00:00:00+01:00,78.32092475278569,9027.531563300436
2018-12-30 00:00:00+01:00,77.14658678571023,9923.196857646282
2018-12-31 00:00:00+01:00,81.34661638731244,10068.00539348249
2019-01-01 00:00:00+01:00,81.91025497751629,10271.27827903175
2019-01-02 00:00:00+01:00,78.35759219387725,10655.975026512502
2019-01-03 00:00:00+01:00,84.22744401479245,10557.884597837428
2019-01-04 00:00:00+01:00,100.9822174868351,10539.352462259969
2019-01-05 00:00:00+01:00,102.49743376111051,10576.769841748837
2019-01-06 00:00:00+01:00,97.02300445165314,10800.630921535108
2019-01-07 00:00:00+01:00,91.65496118583607,10906.812035937905
2019-01-08 00:00:00+01:00,85.78308539640945,11073.714719910384
2019-01-09 00:00:00+01:00,82.21973562762732,11583.850835513269
2019-01-10 00:00:00+01:00,85.60596131186732,11883.701083162927
2019-01-11 00:00:00+01:00,88.81320888361944,11998.757658598239
2019-01-12 00:00:00+01:00,83.63500619890878,12475.248572785793
2019-01-13 00:00:00+01:00,80.99849621760656,12553.333966152264
2019-01-14 00:00:00+01:00,77.57156955612653,12607.490948566227
2019-01-15 00:00:00+01:00,73.7029446425761,12932.4290037955
2019-01-16 00:00:00+01:00,73.00120398245589,13062.49699974734
2019-01-17 00:00:00+01:00,72.66391657528384,13197.538709062308
2019-01-18 00:00:00+01:00,70.7131504253216,13346.995616362672
2019-01-19 00:00:00+01:00,68.68147581016963,13372.288310575263
2019-01-20 00:00:00+01:00,66.34207023023802,13401.653011968892
2019-01-21 00:00:00+01:00,64.01680944679975,13437.317393521533
2019-01-22 00:00:00+01:00,61.892235582731,13559.834059013367
2019-01-23 00:00:00+01:00,60.11824619110766,13898.000951772292
2019-01-24 00:00:00+01:00,59.106410882412895,14113.856431530645
2019-01-25 00:00:00+01:00,57.855885267324624,14293.407511298206
2019-01-26 00:00:00+01:00,56.4999715650262,14436.634229503277
2019-01-27 00:00:00+01:00,55.23731471130937,14828.749664869985
2019-01-28 00:00:00+01:00,55.022383700192556,14928.882464242279
