,q,s
2018-09-01 00:00:00+01:00,268.24558844335627,146.82565653644252
2018-09-02 00:00:00+01:00,240.54776122237035,138.67335064222166
2018-09-03 00:00:00+01:00,227.59275281636457,133.14285974547857
2018-09-04 00:00:00+01:00,217.28861358210358,127.97190953030723
2018-09-05 00:00:00+01:00,213.51672924276045,121.13005482851256
2018-09-06 00:00:00+01:00,256.4428594397689,114.73334350575213
2018-09-07 00:00:00+01:00,414.73141945374795,109.7207104573826
2018-09-08 00:00:00+01:00,535.3215015424145,106.25279669517938
2018-09-09 00:00:00+01:00,644.052657640497,118.68506109967375
2018-09-10 00:00:00+01:00,751.7556276473792,139.69742443222626
2018-09-11 00:00:00+01:00,897.5569606819425,276.17085119735214
2018-09-12 00:00:00+01:00,1004.7231728109022,368.24224077785885
2018-09-13 00:00:00+01:00,990.7702910865495,450.6555480274657
2018-09-14 00:00:00+01:00,936.5572636044491,529.0500432999745
2018-09-15 00:00:00+01:00,823.7157689393857,598.9165237577563
2018-09-16 00:00:00+01:00,775.195493965691,629.9364401502929
2018-09-17 00:00:00+01:00,744.7740733702321,510.0605621153502
2018-09-18 00:00:00+01:00,678.5425771274768,408.09978626223784
2018-09-19 00:00:00+01:00,734.4025125262195,447.13517543840334
2018-09-20 00:00:00+01:00,847.7047279861874,593.6879755766478
2018-09-21 00:00:00+01:00,1068.8911880241535,902.3000845134658
2018-09-22 00:00:00+01:00,1167.9674376127514,1190.747948397573
2018-09-23 00:00:00+01:00,983.1349612042053,1425.144730215071
2018-09-24 00:00:00+01:00,747.5530724962906,2252.8711348787497
2018-09-25 00:00:00+01:00,829.7664149303246,2395.655389130338
2018-09-26 00:00:00+01:00,1003.3546130557531,1657.2893641373653
2018-09-27 00:00:00+01:00,1017.8011438495912,1235.4231274067506
2018-09-28 00:00:00+01:00,891.5015152466104,1736.8724092809314
2018-09-29 00:00:00+01:00,805.2706252832047,1839.055905358582
2018-09-30 00:00:00+01:00,753.9457298487092,1944.159417738454
2018-10-01 00:00:00+01:00,604.2056843308749,2255.361340815276
2018-10-02 00:00:00+01:00,483.7254148359927,2419.380478488654
2018-10-03 00:00:00+01:00,403.82855891460923,2858.199036343331
2018-10-04 00:00:00+01:00,442.84005572938565,3147.343492470795
2018-10-05 00:00:00+01:00,511.1504125805142,3245.458119525072
2018-10-06 00:00:00+01:00,444.4455221912202,3819.991450085357
2018-10-07 00:00:00+01:00,374.655020514013,3994.8280061337177
2018-10-08 00:00:00+01:00,445.5442314470436,3799.240632688834
2018-10-09 00:00:00+01:00,749.3408194776243,3428.3187994717646
2018-10-10 00:00:00+01:00,802.5149622081856,2961.9400727789093
2018-10-11 00:00:00+01:00,663.3259805105818,2491.116992110121
2018-10-12 00:00:00+01:00,771.2638975952563,2001.8961037794754
2018-10-13 00:00:00+01:00,1139.815820409635,1497.6575448084695
2018-10-14 00:00:00+01:00,1393.457962933697,1365.5712298410144
2018-10-15 00:00:00+01:00,1150.7180701571622,1326.729349889546
2018-10-16 00:00:00+01:00,808.2555156752226,1243.4070432356925
2018-10-17 00:00:00+01:00,665.5636775026568,1221.3949745873833
2018-10-18 00:00:00+01:00,589.2155589922394,1245.998973846282
2018-10-19 00:00:00+01:00,497.7462441076637,1342.5645654754203
2018-10-20 00:00:00+01:00,458.9138696058739,1485.625050711028
2018-10-21 00:00:00+01:00,607.9277550001768,2929.6395264867338
2018-10-22 00:00:00+01:00,744.9499660440694,3350.731157758776
2018-10-23 00:00:00+01:00,645.1849096246931,3841.735998076386
2018-10-24 00:00:00+01:00,498.66804558694184,3987.574725208691
2018-10-25 00:00:00+01:00,406.36132549744116,4024.4440167444604
2018-10-26 00:00:00+01:00,331.9870530539741,4038.408407309608
2018-10-27 00:00:00+01:00,270.39145842498283,4054.9013978694475
2018-10-28 00:00:00+01:00,228.68469902987275,4164.992606213478
2018-10-29 00:00:00+01:00,200.60752077741216,4583.897454696994
2018-10-30 00:00:00+01:00,187.68675435997466,4866.199176975406
2018-10-31 00:00:00+01:00,197.83995281828248,5121.667592338725
2018-11-01 00:00:00+01:00,233.03315162342582,5273.823169179494
2018-11-02 00:00:00+01:00,273.1330835772777,5437.912442812048
2018-11-03 00:00:00+01:00,268.355438503951,5145.406469567468
2018-11-04 00:00:00+01:00,270.80509024322936,4853.324974959984
2018-11-05 00:00:00+01:00,284.9855489186568,4656.98006009147
2018-11-06 00:00:00+01:00,271.59051214173127,4423.028263350487
2018-11-07 00:00:00+01:00,265.6828556867426,4240.3521983491855
2018-11-08 00:00:00+01:00,276.7608676879111,4205.691670871944
2018-11-09 00:00:00+01:00,274.3849465201299,4211.230688963917
2018-11-10 00:00:00+01:00,346.88722387157844,4156.722483341591
2018-11-11 00:00:00+01:00,555.4293130928937,4123.2598184106555
2018-11-12 00:00:00+01:00,651.4650719068219,4135.404468772103
2018-11-13 00:00:00+01:00,589.8096824360233,4191.971681577671
2018-11-14 00:00:00+01:00,510.38713033076,4043.144812994883
2018-11-15 00:00:00+01:00,468.3236834635744,3889.058747194851
2018-11-16 00:00:00+01:00,443.34470991936047,3831.2959466742577
2018-11-17 00:00:00+01:00,389.92646804236364,3796.932105418358
2018-11-18 00:00:00+01:00,324.3506317168423,3820.2950970436023
2018-11-19 00:00:00+01:00,271.92586660252437,3830.4035798934647
2018-11-20 00:00:00+01:00,230.91650718486272,3842.379353375415
