,q,s
2018-09-01 00:00:00+01:00,152.05931167315177,31.209022455379216
2018-09-02 00:00:00+01:00,140.65916865946022,27.458794239193615
2018-09-03 00:00:00+01:00,132.3901546400135,27.288075802744018
2018-09-04 00:00:00+01:00,124.9030533799013,27.251233155482417
2018-09-05 00:00:00+01:00,116.54846285883781,26.986928512152716
2018-09-06 00:00:00+01:00,109.48289912701267,27.215781282617517
2018-09-07 00:00:00+01:00,104.14529230743088,25.557358779347418
2018-09-08 00:00:00+01:00,101.41778514308385,24.792365436746415
2018-09-09 00:00:00+01:00,99.37316682870278,20.788800006470996
2018-09-10 00:00:00+01:00,101.69601716199058,20.455069944105396
2018-09-11 00:00:00+01:00,110.34652426204906,23.760175588454896
2018-09-12 00:00:00+01:00,117.29392871787898,24.057035378692596
2018-09-13 00:00:00+01:00,120.36526695271269,22.346442754982196
2018-09-14 00:00:00+01:00,128.00503485892048,101.82757502184205
2018-09-15 00:00:00+01:00,140.37578205197977,102.0128480344399
2018-09-16 00:00:00+01:00,144.20163347656268,102.2109197281214
2018-09-17 00:00:00+01:00,143.49695545175678,91.27092889895569
2018-09-18 00:00:00+01:00,143.6276832702258,134.74366128711839
2018-09-19 00:00:00+01:00,151.46486266519605,122.91504139214939
2018-09-20 00:00:00+01:00,161.50184776179364,115.14581124764139
2018-09-21 00:00:00+01:00,182.60024609632552,114.88830861766672
2018-09-22 00:00:00+01:00,219.0987759276786,188.55419829231334
2018-09-23 00:00:00+01:00,243.80432787283894,282.00012756548347
2018-09-24 00:00:00+01:00,235.8142904147702,381.77393858790566
2018-09-25 00:00:00+01:00,260.282176226,470.2301205066359
2018-09-26 00:00:00+01:00,302.9146378270598,357.1828067102809
2018-09-27 00:00:00+01:00,294.49021628262255,394.89399240998404
2018-09-28 00:00:00+01:00,253.3008615876534,554.9933068683687
2018-09-29 00:00:00+01:00,239.42501489592243,545.9880850486625
2018-09-30 00:00:00+01:00,227.4489518367431,599.4367475491533
2018-10-01 00:00:00+01:00,205.43845508807078,726.1390344185727
2018-10-02 00:00:00+01:00,185.5847375091006,748.4695335353442
2018-10-03 00:00:00+01:00,169.09969045493662,994.7106778843513
2018-10-04 00:00:00+01:00,167.8428456861186,1042.5020053244903
2018-10-05 00:00:00+01:00,180.82024975434572,1073.9295538431065
2018-10-06 00:00:00+01:00,177.934251845312,1112.9306867416863
2018-10-07 00:00:00+01:00,162.54114535157368,1270.8782713768414
2018-10-08 00:00:00+01:00,158.40555690324257,1305.7916460595684
2018-10-09 00:00:00+01:00,166.934416282837,1213.5867670437908
2018-10-10 00:00:00+01:00,171.70652078657102,1060.5811786336308
2018-10-11 00:00:00+01:00,170.1860509436481,913.6345715851851
2018-10-12 00:00:00+01:00,171.3086089296295,672.9993875377148
2018-10-13 00:00:00+01:00,188.99578530165667,468.45518993996205
2018-10-14 00:00:00+01:00,218.48798836578248,462.5023055644994
2018-10-15 00:00:00+01:00,218.18647283684925,462.90213923834597
2018-10-16 00:00:00+01:00,196.12486746149108,486.3491421517061
2018-10-17 00:00:00+01:00,182.41467633822734,541.6610130717957
2018-10-18 00:00:00+01:00,183.29282875267285,546.7056207083787
2018-10-19 00:00:00+01:00,179.51537572613134,619.6607473458548
2018-10-20 00:00:00+01:00,174.39612027956557,746.6121844691203
2018-10-21 00:00:00+01:00,184.27710557078586,978.7034945720341
2018-10-22 00:00:00+01:00,183.79100710734448,1159.8669509808783
